Claim,Evidence,Metric/Experiment,Result,Confidence,Allowed in Paper?
LightGBM model outperforms Naive persistence on majority of individual commodities,LightGBM P50 achieves lower MAE than persistence in 7 of 10 commodity markets; the observed MAE improvement ranges from 5.87% to 22.36% among those seven markets.,Per-Commodity Out-of-Sample Benchmark (2025),"7 of 10 commodities improve; aggregate MAE is higher because Chilli Red, Mustard, and Gram(Chana) are difficult cases.",High,Yes (with commodity-level breakdown)
Ridge Linear Regression achieves lowest aggregate point forecast error,"Ridge achieves MAE of Rs 56.58/qtl and RMSE of Rs 113.60/qtl on the 2025 test set, with statistically significant differences versus LightGBM under the documented DM tests.",Canonical Model Comparison & Diebold-Mariano Tests,"Ridge MAE = Rs 56.58/qtl versus LightGBM P50 Rs 82.00/qtl; LightGBM versus Ridge MAE DM statistic = -8.0941, p < 0.001.",High,Yes (Reported honestly as linear point-forecast baseline)
Multi-source features provide incremental predictive power,"Feature ablation reports MAE of 116.76 without price lags, 83.36 without arrivals, 81.96 without festivals, and 82.00 for the full LightGBM P50 reference.",7-Way Feature Ablation Study,Price history is the strongest signal; arrivals and festivals provide smaller complementary effects in this ablation.,High,Yes
Prediction intervals achieve nominal 80% coverage via Conformal Quantile Regression,"Mondrian CQR achieves 79.49% empirical coverage on the untouched 2025 test set against an 80.0% nominal target, with MPIW of Rs 228.78/qtl.",Conformalized Quantile Regression (CQR),79.49% empirical coverage and zero post-rearrangement quantile crossings on the 2025 test set.,High,Yes
Model demonstrates spatial generalization across Indian agricultural markets,Leave-One-Mandi-Out results cover all 10 holdout mandis; MAE ranges from Rs 15.14/qtl at Khanna to Rs 276.53/qtl at Azadpur.,Leave-One-Mandi-Out (LOMO) Spatial CV,"Spatial transfer is nonuniform: strongest at Khanna and Karnal, with materially larger degradation at Azadpur, Guntur, Indore, and Kolkata.",High,Yes
Price series non-stationarity is verified and addressed via lag differences/EMAs,"ADF and KPSS diagnostics are reported per commodity; the direct price-level Ridge benchmark has MAE Rs 56.58/qtl, while the delta formulation has MAE Rs 56.00/qtl.",Stationarity Diagnostic & Price-Change Experiment,The delta formulation is close to the raw-price formulation; the study retains the canonical raw-price contract for the primary benchmark.,High,Yes
Exogenous agricultural drivers share Granger-predictive association with modal prices,"Grouped Granger testing with BH-FDR correction finds arrivals significant in 100.00% of series groups, maximum temperature in 92.45%, and rainfall in 60.38%.",Grouped Granger Causality with BH-FDR Correction,"These are statistical predictive associations, not evidence of physical causation.",High,Yes (Framed as statistical predictive association)
Deep learning models conclusively underperform GBDT across all conditions,Deep-learning benchmark metrics and training configurations are sourced from the current benchmark artifacts; results are interpreted according to the documented tuning scope.,Deep Learning Sequence Benchmarks,Sequence models show higher error under default parameters; DL is classified as proof-of-concept baseline.,Medium (Explicitly qualified),No (Must be qualified as proof-of-concept comparison)
Isolation Forest is a validated 95%+ accurate supervised anomaly detector,"Evaluated against operational heuristic proxy rules, not verified historical ground-truth events.",Isolation Forest Anomaly Detection,Unsupervised operational triage indicator; qualitative historical case studies provided.,Low (As classifier) / High (As operational triage),No (Must be framed as unsupervised operational triage tool)
Model is proven robust to unseen global pandemics (COVID stress test),COVID-era data (2020-2021) was included in the training pool.,Historical Regime Consistency Analysis,In-sample retrospective consistency check (MAE Rs 29.42 in 2020-2021 vs Rs 33.67 in 2022-2024).,High (As in-sample consistency) / False (As unseen test),No (Must be framed as in-sample regime consistency)
