Claim,Evidence,Metric/Experiment,Result,Confidence,Allowed in Paper?
LightGBM model outperforms Naive persistence on majority of individual commodities,"LightGBM P50 achieves 20.3% to 46.6% lower MAE than persistence across 7 of 10 individual commodity markets (Potato, Maize, Onion, Paddy, Tomato, Soyabean, Wheat).",Per-Commodity Out-of-Sample Benchmark (2025),7 of 10 commodities show substantial gain; Aggregate MAE is higher due to spice/cash crop outliers (Chilli Red/Mustard).,High,Yes (with commodity-level breakdown)
Ridge Linear Regression achieves lowest aggregate point forecast error,"Ridge achieves MAE of Rs 29.77/qtl and RMSE of Rs 59.36/qtl on the 2025 test set, significantly outperforming tree ensembles on squared error loss.",Canonical Model Comparison & Diebold-Mariano Tests,"Ridge MAE = Rs 29.77/qtl vs LightGBM Rs 59.58/qtl (DM stat = -20.88, p < 0.001).",High,Yes (Reported honestly as linear point-forecast baseline)
Multi-source features provide incremental predictive power,Feature Ablation: Removing arrivals increases MAE by +32.1%; removing festivals increases MAE by +10.9%; removing price lags increases MAE by +68.5%.,7-Way Feature Ablation Study,"Price history dominates, but arrivals, festivals, and weather provide meaningful complementary accuracy.",High,Yes
Prediction intervals achieve nominal 80% coverage via Conformal Quantile Regression,Mondrian CQR calibrated coverage is 79.85% on the untouched 2025 test set (within 0.15% of nominal 80.0% target) with an MPIW of Rs 166.91/qtl.,Conformalized Quantile Regression (CQR),79.85% Empirical Coverage on 2025 Test Set.,High,Yes
Model demonstrates spatial generalization across Indian agricultural markets,Leave-One-Mandi-Out Spatial CV demonstrates MAE of Rs 25-45/qtl across 8 of 10 holdout mandis.,Leave-One-Mandi-Out (LOMO) Spatial CV,Solid spatial transfer for 8 secondary/primary mandis; expected degradation on Azadpur terminal hub (Rs 575/qtl).,High,Yes
Price series non-stationarity is verified and addressed via lag differences/EMAs,ADF and KPSS confirm unit roots in price levels. Price-change model (Experiment B) confirms delta-prediction achieves near-identical MAE (Rs 29.80 vs Rs 29.77/qtl).,Stationarity Diagnostic & Price-Change Experiment,Raw price tree models with lag levels and velocity features implicitly operate on difference momentum.,High,Yes
Exogenous agricultural drivers share Granger-predictive association with modal prices,"Arrivals significant in 100.0%, Max Temp in 92.45%, Rainfall in 64.15% under Benjamini-Hochberg FDR correction at alpha=0.05.",Grouped Granger Causality with BH-FDR Correction,Empirically supported statistical association (not physical causal proof).,High,Yes (Framed as statistical predictive association)
Deep learning models conclusively underperform GBDT across all conditions,Deep-learning benchmark metrics and training configurations are sourced from the current benchmark artifacts; results are interpreted according to the documented tuning scope.,Deep Learning Sequence Benchmarks,Sequence models show higher error under default parameters; DL is classified as proof-of-concept baseline.,Medium (Explicitly qualified),No (Must be qualified as proof-of-concept comparison)
Isolation Forest is a validated 95%+ accurate supervised anomaly detector,"Evaluated against operational heuristic proxy rules, not verified historical ground-truth events.",Isolation Forest Anomaly Detection,Unsupervised operational triage indicator; qualitative historical case studies provided.,Low (As classifier) / High (As operational triage),No (Must be framed as unsupervised operational triage tool)
Model is proven robust to unseen global pandemics (COVID stress test),COVID-era data (2020-2021) was included in the training pool.,Historical Regime Consistency Analysis,In-sample retrospective consistency check (MAE Rs 29.42 in 2020-2021 vs Rs 33.67 in 2022-2024).,High (As in-sample consistency) / False (As unseen test),No (Must be framed as in-sample regime consistency)
